,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
82,1.0,61176.0,138693.0,Economic_disadv,89.0,146.666666667,60.6333333333,22.4666666667,16.9,86.6666666667,146.666666667,59.0,19.9666666667,21.0333333333,343.766666667,75.8,160.5
83,1.0,61176.0,138693.0,NOT_economic_disadv,224.666666667,298.666666667,75.3333333333,15.3666666667,9.3,207.666666667,298.666666667,69.6333333333,17.7666666667,12.6,387.8,185.2,444.0
84,1.0,61192.0,108670.0,All,63.6666666667,132.666666667,48.2666666667,36.2666666667,15.4666666667,72.3333333333,132.666666667,54.7666666667,27.9333333333,17.3,369.1,124.666666667,173.5
85,1.0,61192.0,108670.0,Economic_disadv,41.6666666667,93.3333333333,45.1,38.9666666667,15.9333333333,48.3333333333,93.3333333333,52.1333333333,30.0666666667,17.8,359.2,86.6666666667,116.0
86,1.0,61192.0,108670.0,NOT_economic_disadv,22.0,39.0,56.0,30.2666666667,13.7333333333,24.0,39.0,61.3333333333,22.5333333333,16.1333333333,389.2,38.0,57.5
87,1.0,61192.0,113902.0,All,49.3333333333,118.666666667,41.4333333333,44.8,13.7666666667,71.0,118.666666667,59.7333333333,20.2666666667,20.0,353.566666667,58.1666666667,174.5
88,1.0,61192.0,113902.0,Economic_disadv,34.0,83.0,40.5333333333,44.2333333333,15.2333333333,48.3333333333,83.0,58.2333333333,20.7333333333,21.0333333333,346.8,49.6,127.5
89,1.0,61192.0,113902.0,NOT_economic_disadv,15.0,35.3333333333,43.4666666667,47.7666666667,8.76666666667,22.3333333333,35.3333333333,64.7,18.3666666667,16.9333333333,371.3,19.6,47.0
90,1.0,61192.0,127944.0,All,0.0,51.0,0.0,100.0,0.0,20.0,51.0,39.2,52.9,7.9,323.733333333,25.75,40.0
91,1.0,61192.0,127944.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.75,17.0,19.0
92,1.0,61192.0,127944.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.95,17.0,21.0
93,1.0,61192.0,133629.0,All,108.666666667,399.666666667,27.2,63.7,9.1,189.333333333,399.666666667,47.4333333333,29.6666666667,22.9,321.85,188.333333333,545.5
94,1.0,61192.0,133629.0,Economic_disadv,79.0,299.666666667,26.4,64.9666666667,8.63333333333,136.333333333,299.666666667,45.7,30.2333333333,24.0666666667,316.85,165.6,384.5
95,1.0,61192.0,133629.0,NOT_economic_disadv,27.3333333333,86.0,31.5,57.7333333333,10.7666666667,47.3333333333,86.0,54.9333333333,26.5666666667,18.5,350.533333333,98.0,161.0
96,1.0,61192.0,135319.0,All,236.333333333,502.333333333,47.0333333333,35.9666666667,17.0,258.0,502.333333333,51.3666666667,22.6,26.0333333333,335.033333333,286.6,588.0
97,1.0,61192.0,135319.0,Economic_disadv,159.333333333,355.333333333,44.8333333333,37.3333333333,17.8333333333,176.333333333,355.333333333,49.6,22.6333333333,27.7666666667,329.433333333,243.75,389.0
98,1.0,61192.0,135319.0,NOT_economic_disadv,68.3333333333,130.0,52.4666666667,32.0666666667,15.4666666667,73.0,130.0,56.0666666667,21.5333333333,22.4,347.533333333,114.0,199.0
99,1.0,61192.0,138339.0,All,89.6666666667,245.333333333,36.7333333333,42.1333333333,21.1333333333,119.666666667,245.333333333,47.9666666667,24.4666666667,27.5666666667,303.68,140.833333333,451.5
100,1.0,61192.0,138339.0,Economic_disadv,70.0,203.0,34.9333333333,44.2666666667,20.8,95.6666666667,203.0,46.4333333333,25.3333333333,28.2333333333,306.375,135.0,348.5
